epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2037.57,1.14985,1.9865,1.05,1.23662,0.81744,0.59091,0.71589,0.38529,0.80838,0.61364,0.72304,0.42393,1.64654,2.42596,1.18062,1.6848,0.0016172,0.0016172,0.0016172
31,2103.82,1.15755,1.97357,1.04603,1.23833,0.71625,0.72727,0.76786,0.45475,0.73349,0.75,0.78002,0.47609,1.44038,2.24171,1.1079,1.48439,0.001604,0.001604,0.001604
32,2172.56,1.1511,1.98693,1.03358,1.23686,0.75795,0.65909,0.74223,0.4302,0.8118,0.68939,0.7655,0.47137,1.44796,2.21714,1.19392,1.53849,0.0015908,0.0015908,0.0015908
33,2239.69,1.13676,1.94378,1.00677,1.2318,0.80146,0.64222,0.73075,0.44387,0.78511,0.68182,0.73728,0.42396,1.41246,2.35622,1.25984,1.48712,0.0015776,0.0015776,0.0015776
34,2310.52,1.12993,1.9185,0.99681,1.2196,0.76662,0.69677,0.77295,0.44193,0.81258,0.65152,0.76366,0.4571,1.51604,2.41509,1.01434,1.58747,0.0015644,0.0015644,0.0015644
35,2383.16,1.12521,1.94171,1.00637,1.22819,0.84767,0.65152,0.77203,0.44301,0.90255,0.65152,0.77109,0.45066,1.4261,2.42368,1.11541,1.53522,0.0015512,0.0015512,0.0015512
36,2449.9,1.12484,1.93833,0.98883,1.22176,0.77742,0.66667,0.74805,0.43425,0.80167,0.67367,0.75647,0.45484,1.49098,2.37641,1.1253,1.5393,0.001538,0.001538,0.001538
37,2518.51,1.12306,1.91913,0.98881,1.22131,0.77625,0.66667,0.7722,0.44679,0.79389,0.68182,0.78313,0.46998,1.39528,2.26857,1.06037,1.45349,0.0015248,0.0015248,0.0015248
38,2595.2,1.12854,1.9394,0.99349,1.22028,0.77756,0.69697,0.77536,0.44459,0.76654,0.69648,0.77155,0.46203,1.3795,2.41917,1.0614,1.46384,0.0015116,0.0015116,0.0015116
39,2662.93,1.11639,1.90723,0.98221,1.21479,0.76091,0.62121,0.71029,0.40743,0.73256,0.69697,0.73843,0.44595,1.50938,2.38012,1.23091,1.57964,0.0014984,0.0014984,0.0014984
40,2730.72,1.11619,1.90137,0.96702,1.21117,0.72471,0.69804,0.76567,0.44158,0.77248,0.68939,0.77083,0.48113,1.46508,2.32295,1.23046,1.52583,0.0014852,0.0014852,0.0014852
41,2797.86,1.11654,1.91406,0.97431,1.21018,0.81762,0.7197,0.79019,0.46334,0.80902,0.71212,0.79477,0.4643,1.4175,2.43284,1.03605,1.45261,0.001472,0.001472,0.001472
42,2864.23,1.11239,1.89959,0.96356,1.20926,0.73531,0.69697,0.71628,0.42141,0.84127,0.67424,0.74352,0.43875,1.52008,2.69223,1.30166,1.58439,0.0014588,0.0014588,0.0014588
43,2940.37,1.09473,1.8728,0.95473,1.20045,0.81324,0.69697,0.78311,0.45162,0.81567,0.67424,0.78173,0.46227,1.37339,2.33573,1.02246,1.44727,0.0014456,0.0014456,0.0014456
44,3006.83,1.10208,1.8725,0.9407,1.19306,0.73114,0.64394,0.71644,0.42327,0.74867,0.65909,0.73414,0.43577,1.45218,2.45506,1.19479,1.51788,0.0014324,0.0014324,0.0014324
45,3073.36,1.09247,1.8529,0.93315,1.19473,0.77977,0.68182,0.73976,0.45867,0.82371,0.7197,0.77782,0.47946,1.35114,2.33338,1.03569,1.44346,0.0014192,0.0014192,0.0014192
46,3150.1,1.1074,1.85146,0.92883,1.20372,0.71341,0.68939,0.74887,0.43983,0.774,0.72649,0.78198,0.46804,1.445,2.42199,1.08955,1.55312,0.001406,0.001406,0.001406
47,3216.91,1.09366,1.82652,0.92515,1.19456,0.8313,0.67197,0.77804,0.45774,0.84732,0.69697,0.77972,0.46226,1.38606,2.33863,1.08473,1.53158,0.0013928,0.0013928,0.0013928
